agent_id,agent_name,agent_email,agent_phone,team_id,skill_level,hire_date,avg_handle_time_min,resolution_rate,csat_score,is_active,created_at,updated_at
1,Mahmoud El-Sayed,mahmoud.elsayed57@fastfeast.com,1228021013,3,Senior,2021-05-23,4,0.893,4.465,True,2021-05-23 00:00:00,2026-03-18 05:09:35.069893
2,Ayman Saleh,ayman.saleh57@fastfeast.com,1018672730,4,Senior,2023-03-27,5,0.887,4.237,True,2023-03-27 00:00:00,2026-03-18 05:09:35.069893
3,Mohamed Rizk,mohamed.rizk@fastfeast.com,1248299416,5,Lead,2021-08-02,4,0.936,4.837,True,2021-08-02 00:00:00,2026-03-18 05:09:35.069893
4,Mostafa Fathy,mostafafathy@fastfeast.com,1184202557,2,Lead,2020-11-23,5,0.942,4.614,True,2020-11-23 00:00:00,2026-03-18 05:09:35.069893
5,Mona Mansour,monamansour@fastfeast.com,1575706438,3,Senior,2023-03-06,9,0.912,4.286,True,2023-03-06 00:00:00,2026-03-18 05:09:35.069893
6,Karim Hassan,karim.hassan@fastfeast.com,1174119239,1,Senior,2021-05-24,6,0.95,4.708,False,2021-05-24 00:00:00,2026-03-18 05:09:35.069893
7,Nada Tawfik,nadatawfik@fastfeast.com,1079596863,2,Senior,2020-04-25,9,0.89,4.328,True,2020-04-25 00:00:00,2026-03-18 05:09:35.069893
8,Ziad Saleh,ziadsaleh@fastfeast.com,1210861718,2,Senior,2022-11-01,7,0.928,4.758,True,2022-11-01 00:00:00,2026-03-18 05:09:35.069893
9,Youssef Mohamed,youssef.mohamed8@fastfeast.com,1135754346,3,Mid,2024-09-07,9,0.865,4.112,False,2024-09-07 00:00:00,2026-03-18 05:09:35.069893
10,Amira Rizk,amira.rizk86@fastfeast.com,1022997893,2,Lead,2021-03-23,4,0.931,4.51,True,2021-03-23 00:00:00,2026-03-18 05:09:35.069893
11,Amr Shaker,amrshaker@fastfeast.com,1010414016,4,Senior,2025-10-31,6,0.935,4.442,True,2025-10-31 00:00:00,2026-03-18 05:09:35.069893
12,Jana Ali,jana.ali3@fastfeast.com,1216141035,3,Senior,2020-04-15,10,0.897,4.545,True,2020-04-15 00:00:00,2026-03-18 05:09:35.069893
13,Adel Fathy,adel.fathy92@fastfeast.com,1027161260,4,Senior,2024-06-27,7,0.952,4.768,True,2024-06-27 00:00:00,2026-03-18 05:09:35.069893
14,Nevine Gaber,nevinegaber@fastfeast.com,1144578317,4,Junior,2025-03-27,10,0.775,4.166,False,2025-03-27 00:00:00,2026-03-18 05:09:35.069893
15,Ramy Ali,ramy.ali@fastfeast.com,1144775001,1,Mid,2025-12-29,15,0.832,4.04,True,2025-12-29 00:00:00,2026-03-18 05:09:35.069893
16,Omar El-Masry,omar.elmasry47@fastfeast.com,1179759849,5,Senior,2022-02-09,6,0.958,4.632,True,2022-02-09 00:00:00,2026-03-18 05:09:35.069893
17,Amr El-Sayed,amr.elsayed@fastfeast.com,1549123810,4,Junior,2025-03-01,13,0.778,4.084,True,2025-03-01 00:00:00,2026-03-18 05:09:35.069893
18,Aya Tawfik,ayatawfik@fastfeast.com,1262527814,4,Lead,2022-05-12,4,0.969,4.498,True,2022-05-12 00:00:00,2026-03-18 05:09:35.069893
19,Mona Tawfik,monatawfik@fastfeast.com,1138154362,2,Senior,2022-03-10,10,0.935,4.803,True,2022-03-10 00:00:00,2026-03-18 05:09:35.069893
20,Ashraf Rizk,ashraf.rizk@fastfeast.com,1289643778,4,Senior,2020-02-07,10,0.901,4.849,False,2020-02-07 00:00:00,2026-03-18 05:09:35.069893
21,Dina Hassan,dina.hassan@fastfeast.com,1026381483,4,Mid,2021-05-01,7,0.893,4.445,True,2021-05-01 00:00:00,2026-03-18 05:09:35.069893
22,Ahmed El-Din,ahmedeldin@fastfeast.com,1062854477,5,Junior,2025-05-18,20,0.763,4.148,True,2025-05-18 00:00:00,2026-03-18 05:09:35.069893
23,Sara Soliman,sara.soliman12@fastfeast.com,1214698329,1,Senior,2021-05-23,5,0.957,4.668,False,2021-05-23 00:00:00,2026-03-18 05:09:35.069893
24,Noha Abdallah,noha.abdallah69@fastfeast.com,1123288780,1,Senior,2021-12-03,8,0.945,4.366,True,2021-12-03 00:00:00,2026-03-18 05:09:35.069893
25,Ali Abdel-Rahman,ali.abdelrahman55@fastfeast.com,1181927860,2,Lead,2022-05-31,7,0.956,4.849,True,2022-05-31 00:00:00,2026-03-18 05:09:35.069893
26,Nada Tawfik,nada.tawfik@fastfeast.com,1518852915,3,Senior,2022-02-28,8,0.894,4.774,True,2022-02-28 00:00:00,2026-03-18 05:09:35.069893
27,Abeer El-Masry,abeer.elmasry45@fastfeast.com,1284026745,3,Mid,2023-01-24,7,0.835,4.273,True,2023-01-24 00:00:00,2026-03-18 05:09:35.069893
28,Hassan El-Masry,hassan.elmasry@fastfeast.com,1243435196,5,Junior,2024-05-14,14,0.831,3.622,True,2024-05-14 00:00:00,2026-03-18 05:09:35.069893
29,Yasmin Mansour,yasmin.mansour@fastfeast.com,1122567290,2,Senior,2023-12-20,8,0.948,4.833,True,2023-12-20 00:00:00,2026-03-18 05:09:35.069893
30,Ashraf Abdel-Rahman,ashraf.abdelrahman@fastfeast.com,1581715863,3,Mid,2025-07-11,13,0.866,4.5,True,2025-07-11 00:00:00,2026-03-18 05:09:35.069893
