driver_id,driver_name,driver_phone,national_id,region_id,shift,vehicle_type,hire_date,rating_avg,on_time_rate,cancel_rate,completed_deliveries,is_active,created_at,updated_at
1,Tarek Farouk,01556324312,359436842801130,2,night,car,2022-10-29,3.845,0.855,0.021,6049,True,2022-10-29 00:00:00,2026-03-18 05:09:35.066317
2,Bassem Abdel-Rahman,01071862210,382445653135239,14,evening,bike,2019-03-22,3.485,0.854,0.041,9102,True,2019-03-22 00:00:00,2026-03-18 05:09:35.066317
3,Khaled El-Din,01155092789,333451979746901,10,evening,bike,2020-02-14,4.919,0.951,0.014,22075,True,2020-02-14 00:00:00,2026-03-18 05:09:35.066317
4,Bassem Abdallah,01540317902,223334061807881,11,evening,bike,2019-07-14,3.562,0.851,0.064,15477,True,2019-07-14 00:00:00,2026-03-18 05:09:35.066317
5,Hazem Abdel-Rahman,01236853878,345362193617429,17,evening,car,2023-11-09,4.53,0.899,0.042,8872,True,2023-11-09 00:00:00,2026-03-18 05:09:35.066317
6,Hassan El-Din,01585982862,238237358134698,12,evening,motorbike,2024-03-29,3.737,0.76,0.013,5513,True,2024-03-29 00:00:00,2026-03-18 05:09:35.066317
7,Khaled Mohamed,01296710377,243232744242109,13,morning,car,2023-08-17,3.663,0.758,0.015,5685,True,2023-08-17 00:00:00,2026-03-18 05:09:35.066317
8,Walid Saleh,01228311409,249096243498411,18,morning,motorbike,2019-06-01,4.48,0.853,0.006,24866,True,2019-06-01 00:00:00,2026-03-18 05:09:35.066317
9,Wael Mohamed,01558779318,229781943982927,8,morning,motorbike,2019-09-18,4.353,0.849,0.038,11548,True,2019-09-18 00:00:00,2026-03-18 05:09:35.066317
10,Nabil Soliman,01052065222,392239313664514,13,night,motorbike,2020-01-05,4.6,0.825,0.079,10070,True,2020-01-05 00:00:00,2026-03-18 05:09:35.066317
11,Mostafa Mansour,01225161415,369642259829314,16,night,motorbike,2025-08-11,3.903,0.758,0.017,1437,True,2025-08-11 00:00:00,2026-03-18 05:09:35.066317
12,Tarek Abdel-Rahman,abc12345,399925058574447,12,night,bike,2025-10-17,3.72,0.91,0.07,1040,True,2025-10-17 00:00:00,2026-03-18 05:09:35.066317
13,Amr Khalil,01168900892,348564656871503,3,evening,motorbike,2021-08-22,4.161,0.713,0.033,17755,True,2021-08-22 00:00:00,2026-03-18 05:09:35.066317
14,Ziad Ibrahim,01590814633,335858458740794,15,night,bike,2024-09-04,3.673,0.917,0.035,4033,True,2024-09-04 00:00:00,2026-03-18 05:09:35.066317
15,Hassan Mostafa,01552869025,328789344492893,9,morning,car,2020-06-16,4.541,0.884,0.062,17623,True,2020-06-16 00:00:00,2026-03-18 05:09:35.066317
16,Hassan Naguib,01084964625,222523724536519,15,morning,motorbike,2025-05-25,3.872,0.943,0.066,1088,True,2025-05-25 00:00:00,2026-03-18 05:09:35.066317
17,Ali Mohamed,01570895638,341589993468742,7,morning,motorbike,2025-05-12,4.962,0.735,0.065,1672,True,2025-05-12 00:00:00,2026-03-18 05:09:35.066317
18,Karim Mahmoud,01166147435,214046486012615,10,evening,car,2022-03-05,3.808,0.745,0.034,8286,True,2022-03-05 00:00:00,2026-03-18 05:09:35.066317
19,Omar El-Sayed,01538483372,369574239178689,9,morning,motorbike,2022-08-17,3.665,0.733,0.001,7058,True,2022-08-17 00:00:00,2026-03-18 05:09:35.066317
20,Adel Gaber,01262975309,388752057453412,2,night,car,2019-07-06,3.739,0.5,0.036,29662,True,2019-07-06 00:00:00,2026-03-18 05:09:35.066317
21,Khaled Tawfik,01027162621,349547349350320,12,evening,car,2021-12-02,3.881,0.817,0.066,14033,True,2021-12-02 00:00:00,2026-03-18 05:09:35.066317
22,Khaled Saleh,01184581396,336586076149821,5,morning,bike,2024-07-05,3.831,0.848,0.007,3554,True,2024-07-05 00:00:00,2026-03-18 05:09:35.066317
23,Wael Fathy,01525098270,259199381466591,3,morning,bike,2025-04-16,4.842,0.888,0.012,1463,True,2025-04-16 00:00:00,2026-03-18 05:09:35.066317
24,Wael Gaber,01165890810,213652133776023,10,night,car,2019-01-17,4.926,0.745,0.01,19743,True,2019-01-17 00:00:00,2026-03-18 05:09:35.066317
25,Khaled Ali,01289752745,255726167891485,5,morning,bike,2024-05-19,4.782,0.812,0.068,4094,True,2024-05-19 00:00:00,2026-03-18 05:09:35.066317
26,Walid Shaker,01521970652,239308222658092,6,evening,motorbike,2021-11-11,4.693,0.716,0.023,15388,True,2021-11-11 00:00:00,2026-03-18 05:09:35.066317
27,Hossam Saleh,01158190104,261714979883738,17,morning,car,2022-06-24,4.273,0.905,0.075,9895,True,2022-06-24 00:00:00,2026-03-18 05:09:35.066317
28,Nabil Saleh,01015427508,375236143462150,8,night,motorbike,2023-11-14,4.48,0.855,0.011,6359,True,2023-11-14 00:00:00,2026-03-18 05:09:35.066317
29,Ibrahim Mansour,01150320166,270196213316716,10,night,motorbike,2024-05-10,3.568,0.73,0.009,2178,True,2024-05-10 00:00:00,2026-03-18 05:09:35.066317
30,Youssef Mansour,01077571186,275144610435697,6,morning,car,2021-11-03,4.786,0.882,0.004,11529,True,2021-11-03 00:00:00,2026-03-18 05:09:35.066317
31,Ashraf Mansour,01138329117,295014506147287,9,night,car,2021-12-21,3.673,0.805,0.045,4827,True,2021-12-21 00:00:00,2026-03-18 05:09:35.066317
32,Hossam Mansour,01293013580,365592661254383,10,morning,car,2025-10-01,3.669,0.803,0.0,455,False,2025-10-01 00:00:00,2026-03-18 05:09:35.066317
33,Bassem El-Sayed,01594028236,252348747307539,15,morning,bike,2020-08-17,4.224,0.896,0.0,8576,True,2020-08-17 00:00:00,2026-03-18 05:09:35.066317
34,Hossam Fathy,01286427662,356982865960051,1,morning,bike,2025-07-25,4.449,0.965,0.057,2414,True,2025-07-25 00:00:00,2026-03-18 05:09:35.066317
