driver_id,driver_name,driver_phone,national_id,region_id,shift,vehicle_type,hire_date,rating_avg,on_time_rate,cancel_rate,completed_deliveries,is_active,created_at,updated_at
1,Tarek Farouk,01556324312,359436842801130,2,night,car,2022-10-29,3.87,0.846,0.019,6049,True,2022-10-29 00:00:00,2026-03-18 05:09:35.066317
2,Bassem Abdel-Rahman,01071862210,382445653135239,14,evening,bike,2019-03-22,3.53,0.861,0.038,9102,True,2019-03-22 00:00:00,2026-03-18 05:09:35.066317
3,Khaled El-Din,01155092789,333451979746901,10,evening,bike,2020-02-14,4.95,0.945,0.016,22075,True,2020-02-14 00:00:00,2026-03-18 05:09:35.066317
4,Bassem Abdallah,01540317902,223334061807881,11,evening,bike,2019-07-14,3.6,0.852,0.064,15477,True,2019-07-14 00:00:00,2026-03-18 05:09:35.066317
5,Hazem Abdel-Rahman,01236853878,345362193617429,17,evening,car,2023-11-09,4.51,0.901,0.044,8872,True,2023-11-09 00:00:00,2026-03-18 05:09:35.066317
6,Hassan El-Din,01585982862,238237358134698,12,evening,motorbike,2024-03-29,3.72,0.753,0.012,5513,True,2024-03-29 00:00:00,2026-03-18 05:09:35.066317
7,Khaled Mohamed,01296710377,243232744242109,13,morning,car,2023-08-17,3.67,0.751,0.015,5685,True,2023-08-17 00:00:00,2026-03-18 05:09:35.066317
8,Walid Saleh,01228311409,249096243498411,18,morning,motorbike,2019-06-01,4.47,0.862,0.003,24866,True,2019-06-01 00:00:00,2026-03-18 05:09:35.066317
9,Wael Mohamed,01558779318,229781943982927,8,morning,motorbike,2019-09-18,4.36,0.85,0.04,11548,True,2019-09-18 00:00:00,2026-03-18 05:09:35.066317
10,Nabil Soliman,01052065222,392239313664514,13,night,motorbike,2020-01-05,4.62,0.824,0.075,10070,True,2020-01-05 00:00:00,2026-03-18 05:09:35.066317
11,Mostafa Mansour,01225161415,369642259829314,16,night,motorbike,2025-08-11,3.87,0.764,0.022,1437,True,2025-08-11 00:00:00,2026-03-18 05:09:35.066317
12,Tarek Abdel-Rahman,abc12345,399925058574447,12,night,bike,2025-10-17,3.68,0.916,0.069,1040,True,2025-10-17 00:00:00,2026-03-18 05:09:35.066317
13,Amr Khalil,01168900892,348564656871503,3,evening,motorbike,2021-08-22,4.21,0.723,0.033,17755,True,2021-08-22 00:00:00,2026-03-18 05:09:35.066317
14,Ziad Ibrahim,01590814633,335858458740794,15,night,bike,2024-09-04,3.7,0.926,0.032,4033,True,2024-09-04 00:00:00,2026-03-18 05:09:35.066317
15,Hassan Mostafa,01552869025,328789344492893,9,morning,car,2020-06-16,4.53,0.878,0.066,17623,True,2020-06-16 00:00:00,2026-03-18 05:09:35.066317
16,Hassan Naguib,01084964625,222523724536519,15,morning,motorbike,2025-05-25,3.89,0.936,0.068,1088,True,2025-05-25 00:00:00,2026-03-18 05:09:35.066317
17,Ali Mohamed,01570895638,341589993468742,7,morning,motorbike,2025-05-12,4.92,0.743,0.065,1672,True,2025-05-12 00:00:00,2026-03-18 05:09:35.066317
18,Karim Mahmoud,01166147435,214046486012615,10,evening,car,2022-03-05,3.85,0.754,0.036,8286,True,2022-03-05 00:00:00,2026-03-18 05:09:35.066317
19,Omar El-Sayed,01538483372,369574239178689,9,morning,motorbike,2022-08-17,3.64,0.733,0.005,7058,True,2022-08-17 00:00:00,2026-03-18 05:09:35.066317
20,Adel Gaber,01262975309,388752057453412,2,night,car,2019-07-06,3.77,-0.5,0.04,29662,True,2019-07-06 00:00:00,2026-03-18 05:09:35.066317
21,Khaled Tawfik,01027162621,349547349350320,12,evening,car,2021-12-02,3.92,0.808,0.07,14033,True,2021-12-02 00:00:00,2026-03-18 05:09:35.066317
22,Khaled Saleh,01184581396,336586076149821,5,morning,bike,2024-07-05,3.84,0.857,0.003,3554,True,2024-07-05 00:00:00,2026-03-18 05:09:35.066317
23,Wael Fathy,01525098270,259199381466591,3,morning,bike,2025-04-16,4.8,0.879,0.014,1463,True,2025-04-16 00:00:00,2026-03-18 05:09:35.066317
24,Wael Gaber,01165890810,213652133776023,10,night,car,2019-01-17,4.97,0.753,0.01,19743,True,2019-01-17 00:00:00,2026-03-18 05:09:35.066317
25,Khaled Ali,01289752745,255726167891485,5,morning,bike,2024-05-19,4.79,0.815,0.064,4094,True,2024-05-19 00:00:00,2026-03-18 05:09:35.066317
26,Walid Shaker,01521970652,239308222658092,6,evening,motorbike,2021-11-11,4.67,0.723,0.023,15388,True,2021-11-11 00:00:00,2026-03-18 05:09:35.066317
27,Hossam Saleh,01158190104,261714979883738,17,morning,car,2022-06-24,4.23,0.902,0.071,9895,True,2022-06-24 00:00:00,2026-03-18 05:09:35.066317
28,Nabil Saleh,01015427508,375236143462150,8,night,motorbike,2023-11-14,4.53,0.853,0.012,6359,True,2023-11-14 00:00:00,2026-03-18 05:09:35.066317
29,Ibrahim Mansour,01150320166,270196213316716,10,night,motorbike,2024-05-10,3.57,0.72,0.006,2178,True,2024-05-10 00:00:00,2026-03-18 05:09:35.066317
30,Youssef Mansour,01077571186,275144610435697,6,morning,car,2021-11-03,4.76,0.88,0.004,11529,True,2021-11-03 00:00:00,2026-03-18 05:09:35.066317
31,Ashraf Mansour,01138329117,295014506147287,9,night,car,2021-12-21,3.66,0.812,0.043,4827,True,2021-12-21 00:00:00,2026-03-18 05:09:35.066317
32,Hossam Mansour,01293013580,365592661254383,10,morning,car,2025-10-01,3.69,0.801,0.001,455,False,2025-10-01 00:00:00,2026-03-18 05:09:35.066317
33,Bassem El-Sayed,01594028236,252348747307539,15,morning,bike,2020-08-17,4.21,0.887,0.002,8576,True,2020-08-17 00:00:00,2026-03-18 05:09:35.066317
34,Hossam Fathy,01286427662,356982865960051,1,morning,bike,2025-07-25,4.45,0.955,0.057,2414,True,2025-07-25 00:00:00,2026-03-18 05:09:35.066317
35,Adel Zaki,01578901438,384350439585692,1,evening,car,2019-06-01,4.36,0.95,0.044,14866,True,2019-06-01 00:00:00,2026-03-18 05:09:35.066317
36,Youssef Fathy,01512792658,276040242641592,12,evening,car,2022-11-21,3.85,0.935,0.018,11549,True,2022-11-21 00:00:00,2026-03-18 05:09:35.066317
37,Ziad Tawfik,01565950146,376476627516738,6,night,car,2022-04-16,3.81,0.817,0.055,6056,True,2022-04-16 00:00:00,2026-03-18 05:09:35.066317
38,Hassan Shaker,01550755467,288366872790446,2,morning,motorbike,2023-08-31,4.04,0.725,0.021,6795,True,2023-08-31 00:00:00,2026-03-18 05:09:35.066317
39,Ayman Hassan,01085427873,246285972639678,11,evening,bike,2020-04-11,4.65,0.861,0.062,19489,True,2020-04-11 00:00:00,2026-03-18 05:09:35.066317
40,Bassem Soliman,01571355706,224903427681611,4,night,car,2019-07-26,3.56,0.867,0.008,23180,True,2019-07-26 00:00:00,2026-03-18 05:09:35.066317
41,Hassan Zaki,01030709222,327305014963826,7,evening,motorbike,2024-09-03,4.95,0.877,0.062,2223,True,2024-09-03 00:00:00,2026-03-18 05:09:35.066317
42,Ibrahim Soliman,01558404738,284542393710723,14,morning,bike,2023-03-06,3.71,0.815,0.034,13105,False,2023-03-06 00:00:00,2026-03-18 05:09:35.066317
43,Ayman Gaber,01079437366,257610076595822,11,evening,motorbike,2023-12-18,4.97,0.936,0.013,3606,True,2023-12-18 00:00:00,2026-03-18 05:09:35.066317
44,Hazem Ali,01563955904,311109579706988,9,night,car,2024-10-30,4.42,0.714,0.012,3290,True,2024-10-30 00:00:00,2026-03-18 05:09:35.066317
45,Adel Shaker,01536480587,315201567379266,18,evening,car,2022-11-15,4.08,0.811,0.058,12249,True,2022-11-15 00:00:00,2026-03-18 05:09:35.066317
46,Hussein Mohamed,01113143613,293389109044875,9,morning,car,2024-11-05,4.75,0.838,0.024,3141,True,2024-11-05 00:00:00,2026-03-18 05:09:35.066317
47,Ziad Farouk,01070228445,373771696802385,11,morning,motorbike,2022-12-22,4.71,0.857,0.079,10520,True,2022-12-22 00:00:00,2026-03-18 05:09:35.066317
48,Walid Shaker,01160689435,256136990639839,17,night,bike,2022-03-11,3.79,0.863,0.062,8744,True,2022-03-11 00:00:00,2026-03-18 05:09:35.066317
49,Karim Mohamed,01520478739,384065322982472,13,night,bike,2020-06-16,4.34,0.811,0.062,21869,True,2020-06-16 00:00:00,2026-03-18 05:09:35.066317
50,Sherif Tawfik,01177885433,228208332229271,17,night,motorbike,2023-09-04,3.68,0.883,0.017,7065,False,2023-09-04 00:00:00,2026-03-18 05:09:35.066317
51,Tarek Ibrahim,01215406577,262278847625879,10,evening,car,2020-03-27,3.95,0.913,0.039,17732,True,2020-03-27 00:00:00,2026-03-18 05:09:35.066317
52,,01015997180,390652962521313,10,night,motorbike,2024-06-25,4.18,0.754,0.027,4371,True,2024-06-25 00:00:00,2026-03-18 05:09:35.066317
53,Ali Ali,01153649791,297930005648454,14,evening,car,2024-01-17,3.85,0.859,0.032,6891,True,2024-01-17 00:00:00,2026-03-18 05:09:35.067333
54,Ashraf Khalil,01285302098,288720926191460,3,morning,car,2020-11-09,4.93,0.722,0.043,21310,True,2020-11-09 00:00:00,2026-03-18 05:09:35.067333
55,Nabil Fathy,01112546591,338964343572718,8,night,car,2020-05-07,4.76,0.924,0.046,9313,True,2020-05-07 00:00:00,2026-03-18 05:09:35.067333
56,Essam Hassan,01165691824,284298036448019,11,evening,motorbike,2019-04-06,3.89,0.915,0.009,9718,True,2019-04-06 00:00:00,2026-03-18 05:09:35.067333
57,Mostafa Mohamed,01092473495,313823300248937,2,evening,bike,2023-07-27,4.08,0.855,0.026,5855,True,2023-07-27 00:00:00,2026-03-18 05:09:35.067333
58,Ziad Ibrahim,01578265991,326196104163438,9,morning,bike,2025-09-11,3.98,0.836,0.044,492,True,2025-09-11 00:00:00,2026-03-18 05:09:35.067333
59,Hany El-Sayed,01184451573,289973599353710,14,evening,motorbike,2025-07-28,3.63,0.839,0.051,1177,True,2025-07-28 00:00:00,2026-03-18 05:09:35.067333
60,Hassan Mostafa,01072364542,310073733342850,2,evening,car,2025-03-23,3.91,0.938,0.02,3344,True,2025-03-23 00:00:00,2026-03-18 05:09:35.067333
61,Hussein El-Din,01050350996,239675784312601,17,evening,car,2020-10-23,4.83,0.77,0.076,19553,True,2020-10-23 00:00:00,2026-03-18 05:09:35.067333
62,Mostafa Mostafa,01212130654,295676016414622,16,morning,car,2022-10-31,4.85,0.946,0.054,9430,True,2022-10-31 00:00:00,2026-03-18 05:09:35.067333
63,Nabil Naguib,01526564560,360378254025343,13,morning,car,2019-11-14,4.76,0.72,0.065,21479,True,2019-11-14 00:00:00,2026-03-18 05:09:35.067333
64,Hussein Mansour,01235704262,296336643516336,10,night,bike,2019-03-23,3.83,0.84,0.078,22477,True,2019-03-23 00:00:00,2026-03-18 05:09:35.067333
65,Samy Tawfik,01524890990,380414138126087,16,morning,car,2021-03-14,4.33,0.752,0.053,15307,True,2021-03-14 00:00:00,2026-03-18 05:09:35.067333
66,Omar El-Din,01180206603,313254202139488,18,night,bike,2020-06-05,3.88,0.934,0.045,17378,True,2020-06-05 00:00:00,2026-03-18 05:09:35.067333
67,Hazem Hassan,01576514912,341601172014199,2,evening,motorbike,2023-07-25,4.88,0.808,0.043,5400,True,2023-07-25 00:00:00,2026-03-18 05:09:35.067333
68,Wael El-Din,01519991216,233146424337663,11,evening,bike,2021-07-13,3.59,0.978,0.05,6408,True,2021-07-13 00:00:00,2026-03-18 05:09:35.067333
69,Fadi Rizk,01155741665,256951816402861,17,morning,motorbike,2021-10-09,4.92,0.91,0.062,14631,True,2021-10-09 00:00:00,2026-03-18 05:09:35.067333
70,Essam Ibrahim,01027117564,217711364321431,10,night,bike,2019-05-17,4.44,0.975,0.005,22168,True,2019-05-17 00:00:00,2026-03-18 05:09:35.067333
71,Amr Naguib,01070855827,397147550220512,4,evening,bike,2023-08-11,4.48,0.911,0.054,3594,True,2023-08-11 00:00:00,2026-03-18 05:09:35.067333
72,Youssef Ibrahim,01186935230,281621317117206,9,evening,bike,2019-10-04,4.13,0.907,0.058,14696,True,2019-10-04 00:00:00,2026-03-18 05:09:35.067333
73,Mohamed Ali,01251766978,276078704966062,10,night,motorbike,2024-10-02,4.01,0.846,0.03,1919,True,2024-10-02 00:00:00,2026-03-18 05:09:35.067333
74,Mohamed Mostafa,01556146216,238200654380095,7,morning,car,2025-04-10,4.01,0.905,0.053,3174,True,2025-04-10 00:00:00,2026-03-18 05:09:35.067333
75,Khaled El-Din,01231780851,279793399773895,8,morning,car,2025-11-28,4.46,0.941,0.055,417,True,2025-11-28 00:00:00,2026-03-18 05:09:35.067333
76,Nabil El-Masry,01058696493,260367398153116,1,night,car,2023-06-28,3.67,0.794,0.023,5111,True,2023-06-28 00:00:00,2026-03-18 05:09:35.067333
